date,wm_yr_wk,weekday,wday,month,year,d
2011-01-29,11101,Saturday,1,1,2011,d_1
2011-01-30,11101,Sunday,2,1,2011,d_2
2011-01-31,11101,Monday,3,1,2011,d_3
2011-02-01,11101,Tuesday,4,2,2011,d_4
2011-02-02,11101,Wednesday,5,2,2011,d_5
2011-02-03,11101,Thursday,6,2,2011,d_6
2011-02-04,11101,Friday,7,2,2011,d_7
2011-02-05,11102,Saturday,1,2,2011,d_8
2011-02-06,11102,Sunday,2,2,2011,d_9
2011-02-07,11102,Monday,3,2,2011,d_10
2011-02-08,11102,Tuesday,4,2,2011,d_11
2011-02-09,11102,Wednesday,5,2,2011,d_12
2011-02-10,11102,Thursday,6,2,2011,d_13
2011-02-11,11102,Friday,7,2,2011,d_14
2011-02-12,11103,Saturday,1,2,2011,d_15
2011-02-13,11103,Sunday,2,2,2011,d_16
2011-02-14,11103,Monday,3,2,2011,d_17
2011-02-15,11103,Tuesday,4,2,2011,d_18
2011-02-16,11103,Wednesday,5,2,2011,d_19
2011-02-17,11103,Thursday,6,2,2011,d_20
2011-02-18,11103,Friday,7,2,2011,d_21
2011-02-19,11104,Saturday,1,2,2011,d_22
2011-02-20,11104,Sunday,2,2,2011,d_23
2011-02-21,11104,Monday,3,2,2011,d_24
2011-02-22,11104,Tuesday,4,2,2011,d_25
2011-02-23,11104,Wednesday,5,2,2011,d_26
2011-02-24,11104,Thursday,6,2,2011,d_27
2011-02-25,11104,Friday,7,2,2011,d_28
2011-02-26,11105,Saturday,1,2,2011,d_29
2011-02-27,11105,Sunday,2,2,2011,d_30
2011-02-28,11105,Monday,3,2,2011,d_31
2011-03-01,11105,Tuesday,4,3,2011,d_32
2011-03-02,11105,Wednesday,5,3,2011,d_33
2011-03-03,11105,Thursday,6,3,2011,d_34
2011-03-04,11105,Friday,7,3,2011,d_35
2011-03-05,11106,Saturday,1,3,2011,d_36
2011-03-06,11106,Sunday,2,3,2011,d_37
2011-03-07,11106,Monday,3,3,2011,d_38
2011-03-08,11106,Tuesday,4,3,2011,d_39
2011-03-09,11106,Wednesday,5,3,2011,d_40
2011-03-10,11106,Thursday,6,3,2011,d_41
2011-03-11,11106,Friday,7,3,2011,d_42
2011-03-12,11107,Saturday,1,3,2011,d_43
2011-03-13,11107,Sunday,2,3,2011,d_44
2011-03-14,11107,Monday,3,3,2011,d_45
2011-03-15,11107,Tuesday,4,3,2011,d_46
2011-03-16,11107,Wednesday,5,3,2011,d_47
2011-03-17,11107,Thursday,6,3,2011,d_48
2011-03-18,11107,Friday,7,3,2011,d_49
2011-03-19,11108,Saturday,1,3,2011,d_50
2011-03-20,11108,Sunday,2,3,2011,d_51
2011-03-21,11108,Monday,3,3,2011,d_52
2011-03-22,11108,Tuesday,4,3,2011,d_53
2011-03-23,11108,Wednesday,5,3,2011,d_54
2011-03-24,11108,Thursday,6,3,2011,d_55
2011-03-25,11108,Friday,7,3,2011,d_56
2011-03-26,11109,Saturday,1,3,2011,d_57
2011-03-27,11109,Sunday,2,3,2011,d_58
2011-03-28,11109,Monday,3,3,2011,d_59
2011-03-29,11109,Tuesday,4,3,2011,d_60
2011-03-30,11109,Wednesday,5,3,2011,d_61
2011-03-31,11109,Thursday,6,3,2011,d_62
2011-04-01,11109,Friday,7,4,2011,d_63
2011-04-02,11110,Saturday,1,4,2011,d_64
2011-04-03,11110,Sunday,2,4,2011,d_65
2011-04-04,11110,Monday,3,4,2011,d_66
2011-04-05,11110,Tuesday,4,4,2011,d_67
2011-04-06,11110,Wednesday,5,4,2011,d_68
2011-04-07,11110,Thursday,6,4,2011,d_69
2011-04-08,11110,Friday,7,4,2011,d_70
2011-04-09,11111,Saturday,1,4,2011,d_71
2011-04-10,11111,Sunday,2,4,2011,d_72
2011-04-11,11111,Monday,3,4,2011,d_73
2011-04-12,11111,Tuesday,4,4,2011,d_74
2011-04-13,11111,Wednesday,5,4,2011,d_75
2011-04-14,11111,Thursday,6,4,2011,d_76
2011-04-15,11111,Friday,7,4,2011,d_77
2011-04-16,11112,Saturday,1,4,2011,d_78
2011-04-17,11112,Sunday,2,4,2011,d_79
2011-04-18,11112,Monday,3,4,2011,d_80
2011-04-19,11112,Tuesday,4,4,2011,d_81
2011-04-20,11112,Wednesday,5,4,2011,d_82
2011-04-21,11112,Thursday,6,4,2011,d_83
2011-04-22,11112,Friday,7,4,2011,d_84
2011-04-23,11113,Saturday,1,4,2011,d_85
2011-04-24,11113,Sunday,2,4,2011,d_86
2011-04-25,11113,Monday,3,4,2011,d_87
2011-04-26,11113,Tuesday,4,4,2011,d_88
2011-04-27,11113,Wednesday,5,4,2011,d_89
2011-04-28,11113,Thursday,6,4,2011,d_90
2011-04-29,11113,Friday,7,4,2011,d_91
2011-04-30,11114,Saturday,1,4,2011,d_92
2011-05-01,11114,Sunday,2,5,2011,d_93
2011-05-02,11114,Monday,3,5,2011,d_94
2011-05-03,11114,Tuesday,4,5,2011,d_95
2011-05-04,11114,Wednesday,5,5,2011,d_96
2011-05-05,11114,Thursday,6,5,2011,d_97
2011-05-06,11114,Friday,7,5,2011,d_98
2011-05-07,11115,Saturday,1,5,2011,d_99
2011-05-08,11115,Sunday,2,5,2011,d_100
2011-05-09,11115,Monday,3,5,2011,d_101
2011-05-10,11115,Tuesday,4,5,2011,d_102
2011-05-11,11115,Wednesday,5,5,2011,d_103
2011-05-12,11115,Thursday,6,5,2011,d_104
2011-05-13,11115,Friday,7,5,2011,d_105
2011-05-14,11116,Saturday,1,5,2011,d_106
2011-05-15,11116,Sunday,2,5,2011,d_107
2011-05-16,11116,Monday,3,5,2011,d_108
2011-05-17,11116,Tuesday,4,5,2011,d_109
2011-05-18,11116,Wednesday,5,5,2011,d_110
2011-05-19,11116,Thursday,6,5,2011,d_111
2011-05-20,11116,Friday,7,5,2011,d_112
2011-05-21,11117,Saturday,1,5,2011,d_113
2011-05-22,11117,Sunday,2,5,2011,d_114
2011-05-23,11117,Monday,3,5,2011,d_115
2011-05-24,11117,Tuesday,4,5,2011,d_116
2011-05-25,11117,Wednesday,5,5,2011,d_117
2011-05-26,11117,Thursday,6,5,2011,d_118
2011-05-27,11117,Friday,7,5,2011,d_119
2011-05-28,11118,Saturday,1,5,2011,d_120
2011-05-29,11118,Sunday,2,5,2011,d_121
2011-05-30,11118,Monday,3,5,2011,d_122
2011-05-31,11118,Tuesday,4,5,2011,d_123
2011-06-01,11118,Wednesday,5,6,2011,d_124
2011-06-02,11118,Thursday,6,6,2011,d_125
2011-06-03,11118,Friday,7,6,2011,d_126
2011-06-04,11119,Saturday,1,6,2011,d_127
2011-06-05,11119,Sunday,2,6,2011,d_128
2011-06-06,11119,Monday,3,6,2011,d_129
2011-06-07,11119,Tuesday,4,6,2011,d_130
2011-06-08,11119,Wednesday,5,6,2011,d_131
2011-06-09,11119,Thursday,6,6,2011,d_132
2011-06-10,11119,Friday,7,6,2011,d_133
2011-06-11,11120,Saturday,1,6,2011,d_134
2011-06-12,11120,Sunday,2,6,2011,d_135
2011-06-13,11120,Monday,3,6,2011,d_136
2011-06-14,11120,Tuesday,4,6,2011,d_137
2011-06-15,11120,Wednesday,5,6,2011,d_138
